Year,Community,ID,Species,Alive_or_Dead,Height,Cause_of_death,Replaced_by,Latitude,Longitude
2021,Sacha_Waysa,26,Morete,Dead,NA,Environmental,51,-0.824985743,-77.8054185
2021,Sacha_Waysa,27,Morete,Alive,2,,,-0.825183709,-77.80540794
2021,Sacha_Waysa,28,Caoba,Alive,3,,,-0.825376396,-77.80539475
2021,Sacha_Waysa,29,Caoba,Alive,2.5,,,-0.825577002,-77.80539211
2021,Sacha_Waysa,30,Caoba,Dead,NA,Disease,52,-0.824782497,-77.80566926
2021,Sacha_Waysa,31,Caoba,Alive,3,,,-0.824959347,-77.80565606
2021,Sacha_Waysa,33,Guaba,Alive,2,,,-0.825342082,-77.80562967
2021,Sacha_Waysa,34,Guaba,Alive,2.4,,,-0.825579641,-77.80561119
2021,Sacha_Waysa,35,Guaba,Alive,3.2,,,-0.825049092,-77.80585139
2021,Sacha_Waysa,36,Guaba,Alive,2,,,-0.825254977,-77.80585139
2021,Sacha_Waysa,37,Guaba,Alive,2.4,,,-0.825455583,-77.80584875
2021,Sacha_Waysa,38,Guaba,Alive,3.2,,,-0.825701061,-77.80584611
2021,Sacha_Waysa,39,Jackfruit,Alive,3,,,-0.82535264,-77.80600976
2021,Sacha_Waysa,40,Jackfruit,Dead,NA,Unknown,53,-0.825695782,-77.8060256
2021,Sacha_Waysa,42,Jackfruit,Alive,2.8,,,-0.825724817,-77.80622884
2021,Sacha_Waysa,43,Chonta,Alive,3,,,-0.825057011,-77.80438116
2021,Sacha_Waysa,44,Ungurahua,Alive,2.5,,,-0.825247058,-77.8043838
2021,Sacha_Waysa,45,Morete,Alive,2,,,-0.825463501,-77.80456329
2021,Sacha_Waysa,46,Guaba,Alive,2.9,,,-0.825083406,-77.8051915
2021,Sacha_Waysa,47,Jackfruit,Alive,3,,,-0.825146755,-77.80564022
2021,Sacha_Waysa,48,Jackfruit,Alive,2.7,,,-0.825516292,-77.80614438
2021,Sacha_Waysa,49,Ungurahua,Alive,3,,,-0.825252337,-77.80475861
2021,Sacha_Waysa,50,Morete,Alive,4,,,-0.825276093,-77.8049777
2021,Sacha_Waysa,51,Morete,Alive,3.5,,,-0.824985743,-77.8054185
2021,Sacha_Waysa,52,Chonta,Alive,3.5,,,-0.824782497,-77.80566926
2021,Sacha_Waysa,53,Chonta,Alive,3,,,-0.825695782,-77.8060256
2022,Sacha_Waysa,1,Chonta,Alive,4.5,,,-0.824911835,-77.80421487
2022,Sacha_Waysa,2,Chonta,Alive,5.5,,,-0.825064929,-77.80421487
2022,Sacha_Waysa,3,Chonta,Alive,5,,,-0.825252337,-77.80420959
2022,Sacha_Waysa,4,Chonta,Alive,4.8,,,-0.825463501,-77.80419903
2022,Sacha_Waysa,5,Chonta,Alive,5.2,,,-0.824906556,-77.80437588
2022,Sacha_Waysa,8,Chonta,Alive,4.6,,,-0.825458222,-77.80438116
2022,Sacha_Waysa,9,Chonta,Alive,6,,,-0.824914475,-77.80458176
2022,Sacha_Waysa,10,Ungurahua,Alive,4.8,,,-0.825070208,-77.80457385
2022,Sacha_Waysa,11,Ungurahua,Alive,5,,,-0.825241779,-77.80456593
2022,Sacha_Waysa,13,Ungurahua,Alive,4,,,-0.824922394,-77.80476917
2022,Sacha_Waysa,14,Ungurahua,Alive,5,,,-0.825083406,-77.80476653
2022,Sacha_Waysa,16,Ungurahua,Dead,NA,Insects,54,-0.825460862,-77.80475333
2022,Sacha_Waysa,17,Morete,Alive,5.2,,,-0.82494087,-77.80498825
2022,Sacha_Waysa,18,Morete,Alive,4.6,,,-0.825104523,-77.80498562
2022,Sacha_Waysa,20,Morete,Alive,5.2,,,-0.825484618,-77.8049777
2022,Sacha_Waysa,21,Morete,Alive,5.1,,,-0.824906556,-77.80519414
2022,Sacha_Waysa,23,Morete,Alive,4,,,-0.825265535,-77.8051915
2022,Sacha_Waysa,24,Morete,Alive,5,,,-0.825516292,-77.80517566
2022,Sacha_Waysa,25,Morete,Alive,5,,,-0.824808893,-77.80542642
2022,Sacha_Waysa,27,Morete,Alive,4.2,,,-0.825183709,-77.80540794
2022,Sacha_Waysa,28,Caoba,Alive,5,,,-0.825376396,-77.80539475
2022,Sacha_Waysa,29,Caoba,Alive,4.8,,,-0.825577002,-77.80539211
2022,Sacha_Waysa,31,Caoba,Alive,5.7,,,-0.824959347,-77.80565606
2022,Sacha_Waysa,33,Guaba,Alive,3.9,,,-0.825342082,-77.80562967
2022,Sacha_Waysa,34,Guaba,Alive,5.3,,,-0.825579641,-77.80561119
2022,Sacha_Waysa,35,Guaba,Alive,5.4,,,-0.825049092,-77.80585139
2022,Sacha_Waysa,36,Guaba,Dead,NA,Human,55,-0.825254977,-77.80585139
2022,Sacha_Waysa,37,Guaba,Alive,4.4,,,-0.825455583,-77.80584875
2022,Sacha_Waysa,38,Guaba,Alive,5.6,,,-0.825701061,-77.80584611
2022,Sacha_Waysa,39,Jackfruit,Alive,4.2,,,-0.82535264,-77.80600976
2022,Sacha_Waysa,42,Jackfruit,Alive,5.2,,,-0.825724817,-77.80622884
2022,Sacha_Waysa,43,Chonta,Alive,5,,,-0.825057011,-77.80438116
2022,Sacha_Waysa,44,Ungurahua,Alive,4.7,,,-0.825247058,-77.8043838
2022,Sacha_Waysa,45,Morete,Alive,4.5,,,-0.825463501,-77.80456329
2022,Sacha_Waysa,46,Guaba,Alive,5.1,,,-0.825083406,-77.8051915
2022,Sacha_Waysa,47,Jackfruit,Dead,NA,Insects,56,-0.825146755,-77.80564022
2022,Sacha_Waysa,48,Jackfruit,Alive,4,,,-0.825516292,-77.80614438
2022,Sacha_Waysa,49,Ungurahua,Alive,4.7,,,-0.825252337,-77.80475861
2022,Sacha_Waysa,50,Morete,Alive,5.1,,,-0.825276093,-77.8049777
2022,Sacha_Waysa,51,Morete,Alive,4.9,,,-0.824985743,-77.8054185
2022,Sacha_Waysa,52,Chonta,Alive,4.5,,,-0.824782497,-77.80566926
2022,Sacha_Waysa,53,Chonta,Alive,4.4,,,-0.825695782,-77.8060256
2022,Sacha_Waysa,54,Chonta,Alive,4,,,-0.825460862,-77.80475333
2022,Sacha_Waysa,55,Ungurahua,Alive,4.1,,,-0.825254977,-77.80585139
2022,Sacha_Waysa,56,Morete,Alive,4.2,,,-0.825146755,-77.80564022
